éûä‘,äOãCâ∑,3f0ãzçûâ∑ìx,3f1ãzçûâ∑ìx,3f2ãzçûâ∑ìx,3f3ãzçûâ∑ìx,3f4ãzçûâ∑ìx,3f5ãzçûâ∑ìx,3f6ãzçûâ∑ìx,3f7ãzçûâ∑ìx,3f8ãzçûâ∑ìx,3f9ãzçûâ∑ìx
2021/7/2 0:00,20.6,25.2,25.2,27.6,27.6,24.8,24.8,26.4,26.4,26.4,24
2021/7/2 0:30,20.6,25.2,25.2,27.6,27.6,24.8,24.8,26.4,26.4,26.4,24.4
2021/7/2 1:00,20.6,25.2,25.2,27.2,27.2,24.8,24.8,26.4,26.4,26.4,24
2021/7/2 1:30,20.6,25.2,25.2,27.2,27.2,24.8,24.8,26.4,26.4,26.4,24.4
2021/7/2 2:00,20.5,25.2,25.2,27.2,27.2,24.8,24.8,26,26,26,24
2021/7/2 2:30,20.5,25.2,25.2,27.2,27.2,24.8,24.8,26,26,26,24.4
2021/7/2 3:00,20.5,25.2,25.2,26.8,26.8,24.8,24.8,26,26,26,23.6
2021/7/2 3:30,20.5,25.2,25.2,26.8,26.8,24.8,24.8,26,26,26,24.4
2021/7/2 4:00,20.6,25.2,25.2,26.8,26.8,24.8,24.8,26,26,26,23.6
2021/7/2 4:30,20.4,25.2,25.2,26.8,26.8,24.8,24.8,26,26,26,24.4
2021/7/2 5:00,20.6,25.2,25.2,26.8,26.8,24.8,24.8,26,26,26,24
2021/7/2 5:30,20.5,25.2,25.2,26.4,26.4,24.8,24.8,26,26,26,24
2021/7/2 6:00,20.5,25.2,25.2,26.4,26.4,24.8,24.8,26,26,26,24.4
2021/7/2 6:30,20.6,25.2,25.2,26.4,26.4,24.8,24.8,26,26,26,24
2021/7/2 7:00,20.5,25.2,25.2,25.6,25.6,24.8,24.8,25.6,25.6,25.6,24.4
2021/7/2 7:30,20.6,24.4,24.4,24.8,24.8,23.2,23.2,23.6,23.6,23.6,23.2
2021/7/2 8:00,20.6,24.4,24.4,24.8,24.8,24,24,24.4,24.4,24.4,23.6
2021/7/2 8:30,20.5,23.6,23.6,24,24,24,24,24.4,24.4,24.4,23.6
2021/7/2 9:00,20.8,24.4,24.4,23.6,23.6,24,24,23.6,23.6,23.6,22.8
2021/7/2 9:30,20.7,24.8,24.8,24.4,24.4,24.4,24.4,24,24,24,24
2021/7/2 10:00,20.9,24.8,24.8,23.6,23.6,24.4,24.4,24,24,24,24
2021/7/2 10:30,21,25.2,25.2,24.4,24.4,24.4,24.4,23.6,23.6,23.6,24
2021/7/2 11:00,21.1,24.8,24.8,24,24,24.4,24.4,24.4,24.4,24.4,23.6
2021/7/2 11:30,21.1,25.2,25.2,24.8,24.8,24.4,24.4,23.6,23.6,23.6,23.2
2021/7/2 12:00,21.3,24.4,24.4,25.2,25.2,24.4,24.4,24.4,24.4,24.4,24.4
2021/7/2 12:30,21.4,25.2,25.2,25.6,25.6,23.2,23.2,23.6,23.6,23.6,23.6
2021/7/2 13:00,21.4,24.8,24.8,25.6,25.6,24,24,24.4,24.4,24.4,23.6
2021/7/2 13:30,21.5,24.4,24.4,25.6,25.6,24,24,25.2,25.2,25.2,24.8
2021/7/2 14:00,21.8,25.2,25.2,26,26,23.6,23.6,25.2,25.2,25.2,24.4
2021/7/2 14:30,21.9,24.8,24.8,26,26,24.4,24.4,25.2,25.2,25.2,24.4
2021/7/2 15:00,21.9,23.2,23.2,23.6,23.6,24.4,24.4,25.2,25.2,25.2,25.2
2021/7/2 15:30,21.9,24.4,24.4,24,24,24.4,24.4,25.2,25.2,25.2,24.8
2021/7/2 16:00,21.8,23.6,23.6,24.4,24.4,24.8,24.8,24.8,24.8,24.8,24.4
2021/7/2 16:30,21.8,24.4,24.4,25.2,25.2,24.8,24.8,25.2,25.2,25.2,23.6
2021/7/2 17:00,21.8,23.6,23.6,25.2,25.2,24.8,24.8,25.2,25.2,25.2,24
2021/7/2 17:30,21.7,24.4,24.4,25.2,25.2,24.8,24.8,25.2,25.2,25.2,24
2021/7/2 18:00,21.7,24.8,24.8,24.8,24.8,24.8,24.8,25.2,25.2,25.2,23.6
2021/7/2 18:30,21.8,25.2,25.2,25.2,25.2,24.8,24.8,25.2,25.2,25.2,24
2021/7/2 19:00,21.7,23.6,23.6,25.2,25.2,24.8,24.8,25.2,25.2,25.2,25.6
2021/7/2 19:30,21.6,23.2,23.2,24.8,24.8,24.4,24.4,24.8,24.8,24.8,25.2
2021/7/2 20:00,21.5,23.2,23.2,25.2,25.2,24.4,24.4,25.2,25.2,25.2,25.2
2021/7/2 20:30,21.4,23.6,23.6,25.6,25.6,24.4,24.4,25.2,25.2,25.2,25.2
2021/7/2 21:00,21.3,24.4,24.4,26.8,26.8,24.4,24.4,24.8,24.8,24.8,24.8
2021/7/2 21:30,21.2,24.4,24.4,26.8,26.8,24.4,24.4,25.6,25.6,25.6,24.4
2021/7/2 22:00,21.2,24.4,24.4,26.8,26.8,24.8,24.8,26.4,26.4,26.4,24.8
2021/7/2 22:30,21.2,24.4,24.4,26.8,26.8,24.8,24.8,26.8,26.8,26.8,24.4
2021/7/2 23:00,21.3,24.8,24.8,26.4,26.4,24.4,24.4,26.8,26.8,26.8,24.4
2021/7/2 23:30,21.2,24.8,24.8,26.4,26.4,24.4,24.4,26.8,26.8,26.8,24.4
