éûä‘,BäŸ RF äOãCâ∑ìx,3f0ãzçûâ∑ìx,3f1ãzçûâ∑ìx,3f2ãzçûâ∑ìx,3f3ãzçûâ∑ìx,3f4ãzçûâ∑ìx,3f5ãzçûâ∑ìx,3f6ãzçûâ∑ìx,3f7ãzçûâ∑ìx,3f8ãzçûâ∑ìx,3f9ãzçûâ∑ìx
2021/7/4 0:00,20.5,25.2,25.2,26.4,26.4,25.2,25.2,26.4,26.4,26.4,24
2021/7/4 0:30,20.5,25.2,25.2,26.4,26.4,25.2,25.2,26.4,26.4,26.4,24.4
2021/7/4 1:00,20.6,25.2,25.2,26.4,26.4,25.2,25.2,26.4,26.4,26.4,24
2021/7/4 1:30,20.3,25.2,25.2,26.4,26.4,25.2,25.2,26.4,26.4,26.4,24.4
2021/7/4 2:00,20.3,25.2,25.2,26.4,26.4,25.2,25.2,26.4,26.4,26.4,24
2021/7/4 2:30,20.1,25.2,25.2,26.4,26.4,25.2,25.2,26.4,26.4,26.4,24
2021/7/4 3:00,19.9,25.2,25.2,26.4,26.4,25.2,25.2,26.4,26.4,26.4,24.4
2021/7/4 3:30,19.7,25.2,25.2,26.4,26.4,25.2,25.2,26.4,26.4,26.4,24.4
2021/7/4 4:00,19.7,25.2,25.2,26.4,26.4,25.2,25.2,26.4,26.4,26.4,24.4
2021/7/4 4:30,19.6,25.2,25.2,26.4,26.4,25.2,25.2,26.4,26.4,26.4,24
2021/7/4 5:00,19.4,25.2,25.2,26.4,26.4,25.2,25.2,26.4,26.4,26.4,24.4
2021/7/4 5:30,19.5,25.2,25.2,26.4,26.4,25.2,25.2,26.4,26.4,26.4,24
2021/7/4 6:00,19.6,25.2,25.2,26.4,26.4,25.2,25.2,26.4,26.4,26.4,24.4
2021/7/4 6:30,19.5,25.2,25.2,26.4,26.4,25.2,25.2,26.4,26.4,26.4,24
2021/7/4 7:00,19.3,25.2,25.2,26.4,26.4,25.2,25.2,26.4,26.4,26.4,24.4
2021/7/4 7:30,19.4,25.2,25.2,26.4,26.4,25.2,25.2,26.4,26.4,26.4,24.4
2021/7/4 8:00,19.5,25.2,25.2,26.4,26.4,25.2,25.2,26.4,26.4,26.4,24
2021/7/4 8:30,19.5,25.2,25.2,26.4,26.4,25.2,25.2,26.4,26.4,26.4,24.8
2021/7/4 9:00,19.3,25.2,25.2,26.4,26.4,25.2,25.2,26.4,26.4,26.4,24
2021/7/4 9:30,19.8,25.2,25.2,26.4,26.4,25.2,25.2,26.4,26.4,26.4,24.4
2021/7/4 10:00,19.8,25.2,25.2,26.4,26.4,25.2,25.2,26.4,26.4,26.4,24.4
2021/7/4 10:30,19.9,25.2,25.2,26.4,26.4,25.2,25.2,26.4,26.4,26.4,24.4
2021/7/4 11:00,19.8,25.2,25.2,26.4,26.4,25.2,25.2,26.4,26.4,26.4,24.4
2021/7/4 11:30,19.9,25.2,25.2,26.4,26.4,25.2,25.2,26.4,26.4,26.4,24.4
2021/7/4 12:00,20,25.2,25.2,26.4,26.4,25.2,25.2,26.4,26.4,26.4,24
2021/7/4 12:30,20,25.2,25.2,26.4,26.4,25.2,25.2,26.4,26.4,26.4,24.4
2021/7/4 13:00,20.1,25.2,25.2,26.4,26.4,25.2,25.2,26.4,26.4,26.4,24
2021/7/4 13:30,20.4,25.2,25.2,26.4,26.4,25.2,25.2,26.4,26.4,26.4,24.4
2021/7/4 14:00,20.6,25.2,25.2,26.4,26.4,25.2,25.2,26.4,26.4,26.4,24.4
2021/7/4 14:30,20.6,25.2,25.2,26.4,26.4,25.2,25.2,26.4,26.4,26.4,24
2021/7/4 15:00,20.6,25.2,25.2,26.4,26.4,25.2,25.2,26.4,26.4,26.4,24.4
2021/7/4 15:30,20.6,25.2,25.2,26.4,26.4,25.2,25.2,26.4,26.4,26.4,24.4
2021/7/4 16:00,20.3,25.2,25.2,26.4,26.4,25.2,25.2,26.4,26.4,26.4,24
2021/7/4 16:30,20.3,25.2,25.2,26.4,26.4,25.2,25.2,26.4,26.4,26.4,24.8
2021/7/4 17:00,19.9,25.2,25.2,26.4,26.4,25.2,25.2,26.4,26.4,26.4,24.4
2021/7/4 17:30,20.1,25.2,25.2,26.4,26.4,25.2,25.2,26.4,26.4,26.4,24.4
2021/7/4 18:00,20.1,25.2,25.2,26.4,26.4,25.2,25.2,26.4,26.4,26.4,24.4
2021/7/4 18:30,20.1,25.2,25.2,26.4,26.4,25.2,25.2,26.4,26.4,26.4,24
2021/7/4 19:00,19.9,25.2,25.2,26.4,26.4,25.2,25.2,26.4,26.4,26.4,24.4
2021/7/4 19:30,19.6,25.2,25.2,26.4,26.4,25.2,25.2,26.4,26.4,26.4,24.4
2021/7/4 20:00,19.6,25.2,25.2,26.4,26.4,25.2,25.2,26.4,26.4,26.4,24
2021/7/4 20:30,19.6,25.2,25.2,26.4,26.4,25.2,25.2,26.4,26.4,26.4,24.8
2021/7/4 21:00,19.7,25.2,25.2,26.4,26.4,25.2,25.2,26.4,26.4,26.4,24
2021/7/4 21:30,19.6,25.2,25.2,26.4,26.4,25.2,25.2,26.4,26.4,26.4,24.4
2021/7/4 22:00,19.5,25.2,25.2,26.4,26.4,25.2,25.2,26.4,26.4,26.4,24
2021/7/4 22:30,19.8,25.2,25.2,26.4,26.4,25.2,25.2,26.4,26.4,26.4,24.4
2021/7/4 23:00,19.8,25.2,25.2,26.4,26.4,25.2,25.2,26.4,26.4,26.4,24
2021/7/4 23:30,19.5,25.2,25.2,26.4,26.4,25.2,25.2,26.4,26.4,26.4,24.8
