éûä‘,5f0ê›íËâ∑ìx,5f0â^ì]ÉÇÅ[Éh,5f0ïóë¨,5f0ãzçûâ∑ìx,5f1ê›íËâ∑ìx,5f1â^ì]ÉÇÅ[Éh,5f1ïóë¨,5f1ãzçûâ∑ìx,5f2ê›íËâ∑ìx,5f2â^ì]ÉÇÅ[Éh,5f2ïóë¨,5f2ãzçûâ∑ìx,5f3ê›íËâ∑ìx,5f3â^ì]ÉÇÅ[Éh,5f3ïóë¨,5f3ãzçûâ∑ìx,5f4ê›íËâ∑ìx,5f4â^ì]ÉÇÅ[Éh,5f4ïóë¨,5f4ãzçûâ∑ìx,5f5ê›íËâ∑ìx,5f5â^ì]ÉÇÅ[Éh,5f5ïóë¨,5f5ãzçûâ∑ìx,5f6ê›íËâ∑ìx,5f6â^ì]ÉÇÅ[Éh,5f6ïóë¨,5f6ãzçûâ∑ìx,5f7ê›íËâ∑ìx,5f7â^ì]ÉÇÅ[Éh,5f7ïóë¨,5f7ãzçûâ∑ìx,5f8ê›íËâ∑ìx,5f8â^ì]ÉÇÅ[Éh,5f8ïóë¨,5f8ãzçûâ∑ìx,5f9ê›íËâ∑ìx,5f9â^ì]ÉÇÅ[Éh,5f9ïóë¨,5f9ãzçûâ∑ìx,5ãCâ∑
2021-01-04 00:00:00,23,0,1,18.2,23,0,1,18.2,23,0,1,15.7,23,0,1,15.7,26,0,1,17.8,26,0,1,17.8,26,0,1,19.3,26,0,1,19.3,26,0,1,19.3,24,0,3,16.9,4.3
2021-01-04 00:01:00,23,0,1,18.2,23,0,1,18.2,23,0,1,15.7,23,0,1,15.7,26,0,1,17.8,26,0,1,17.8,26,0,1,19.3,26,0,1,19.3,26,0,1,19.3,24,0,3,16.9,4.3
2021-01-04 00:02:00,23,0,1,18.2,23,0,1,18.2,23,0,1,15.7,23,0,1,15.7,26,0,1,17.8,26,0,1,17.8,26,0,1,19.3,26,0,1,19.3,26,0,1,19.3,24,0,3,16.9,4.3
2021-01-04 00:03:00,23,0,1,18.2,23,0,1,18.2,23,0,1,15.7,23,0,1,15.7,26,0,1,17.8,26,0,1,17.8,26,0,1,19.3,26,0,1,19.3,26,0,1,19.3,24,0,3,16.9,4.3
2021-01-04 00:04:00,23,0,1,18.2,23,0,1,18.2,23,0,1,15.7,23,0,1,15.7,26,0,1,17.8,26,0,1,17.8,26,0,1,19.3,26,0,1,19.3,26,0,1,19.3,24,0,3,16.9,4.3
2021-01-04 00:05:00,23,0,1,18.2,23,0,1,18.2,23,0,1,15.7,23,0,1,15.7,26,0,1,17.8,26,0,1,17.8,26,0,1,19.3,26,0,1,19.3,26,0,1,19.3,24,0,3,16.9,4.3
2021-01-04 00:06:00,23,0,1,18.2,23,0,1,18.2,23,0,1,15.7,23,0,1,15.7,26,0,1,17.8,26,0,1,17.8,26,0,1,19.3,26,0,1,19.3,26,0,1,19.3,24,0,3,16.9,4.3
2021-01-04 00:07:00,23,0,1,18.2,23,0,1,18.2,23,0,1,15.7,23,0,1,15.7,26,0,1,17.8,26,0,1,17.8,26,0,1,19.3,26,0,1,19.3,26,0,1,19.3,24,0,3,16.9,4.3
2021-01-04 00:08:00,23,0,1,18.2,23,0,1,18.2,23,0,1,15.7,23,0,1,15.7,26,0,1,17.8,26,0,1,17.8,26,0,1,19.3,26,0,1,19.3,26,0,1,19.3,24,0,3,16.9,4.3
2021-01-04 00:09:00,23,0,1,18.2,23,0,1,18.2,23,0,1,15.7,23,0,1,15.7,26,0,1,17.8,26,0,1,17.8,26,0,1,19.3,26,0,1,19.3,26,0,1,19.3,24,0,3,16.9,4.3
