éûä‘,4f0ãzçûâ∑ìx,4f1ãzçûâ∑ìx,4f2ãzçûâ∑ìx,4f3ãzçûâ∑ìx,4f4ãzçûâ∑ìx,4f5ãzçûâ∑ìx,4f6ãzçûâ∑ìx,4f7ãzçûâ∑ìx,4f8ãzçûâ∑ìx,4f9ãzçûâ∑ìx,äOãCâ∑
2021-01-12 00:00:00,18.2,18.2,17,17,15.3,15.3,14.9,14.9,14.9,16.5,3.5
2021-01-12 00:30:00,18.2,18.2,17.5,17.5,15.3,15.3,14.9,14.9,14.9,16.5,3.1
2021-01-12 01:00:00,18.2,18.2,17.5,17.5,15.3,15.3,14.9,14.9,14.9,16.5,2.8
2021-01-12 01:30:00,18.2,18.2,17,17,15.3,15.3,14.9,14.9,14.9,16.5,2.6
2021-01-12 02:00:00,18.2,18.2,17.5,17.5,15.3,15.3,14.9,14.9,14.9,16.5,2.3
2021-01-12 02:30:00,18.2,18.2,17,17,15.3,15.3,14.9,14.9,14.9,16.5,2.4
2021-01-12 03:00:00,18.2,18.2,17,17,15.3,15.3,14.9,14.9,14.9,16.5,2.1
2021-01-12 03:30:00,18.2,18.2,17,17,15.3,15.3,14.9,14.9,14.9,16.5,2
2021-01-12 04:00:00,18.2,18.2,17,17,15.3,15.3,15.3,15.3,15.3,16.1,2.2
2021-01-12 04:30:00,18.2,18.2,17,17,15.3,15.3,14.9,14.9,14.9,16.1,2.3
2021-01-12 05:00:00,18.2,18.2,17,17,15.3,15.3,15.3,15.3,15.3,16.1,2.2
2021-01-12 05:30:00,17.8,17.8,17,17,15.3,15.3,14.9,14.9,14.9,16.1,2.3
2021-01-12 06:00:00,17.8,17.8,16.5,16.5,15.3,15.3,14.9,14.9,14.9,16.1,2.3
2021-01-12 06:30:00,17.8,17.8,17,17,15.3,15.3,14.9,14.9,14.9,16.1,1.9
2021-01-12 07:00:00,18.2,18.2,17,17,15.3,15.3,14.9,14.9,14.9,16.1,1.9
2021-01-12 07:30:00,18.5,18.5,17,17,15.7,15.7,15.3,15.3,15.3,16.1,2.1
2021-01-12 08:00:00,20.1,20.1,18,18,16.1,16.1,20.1,20.1,20.1,16.5,2.6
2021-01-12 08:30:00,18.2,18.2,19,19,20,20,24,24,24,18.1,3
2021-01-12 09:00:00,18.5,18.5,19.5,19.5,21.2,21.2,25.2,25.2,25.2,20.8,3.3
2021-01-12 09:30:00,21.7,21.7,24,24,21.6,21.6,23.6,23.6,23.6,20.8,3.8
2021-01-12 10:00:00,22.1,22.1,25,25,22,22,24,24,24,20.8,4.6
2021-01-12 10:30:00,22.1,22.1,25,25,20.8,20.8,25.6,25.6,25.6,20.8,5.3
2021-01-12 11:00:00,22.1,22.1,25.5,25.5,22,22,24,24,24,20.8,5.4
2021-01-12 11:30:00,22.4,22.4,26,26,21.2,21.2,26,26,26,20.4,5.5
2021-01-12 12:00:00,22.4,22.4,26,26,20.8,20.8,25.2,25.2,25.2,20.8,5.4
2021-01-12 12:30:00,22.4,22.4,26.5,26.5,21.6,21.6,24.4,24.4,24.4,21.2,5.4
2021-01-12 13:00:00,22.8,22.8,26.5,26.5,22,22,26.8,26.8,26.8,21.2,5.1
2021-01-12 13:30:00,22.8,22.8,26.5,26.5,20.8,20.8,23.6,23.6,23.6,20.8,4.7
2021-01-12 14:00:00,23.2,23.2,27,27,21.6,21.6,24.8,24.8,24.8,22,4.6
2021-01-12 14:30:00,23.2,23.2,27,27,20.8,20.8,23.6,23.6,23.6,21.2,4.4
2021-01-12 15:00:00,23.2,23.2,27.5,27.5,21.2,21.2,24,24,24,22.4,4.5
2021-01-12 15:30:00,23.2,23.2,27.5,27.5,21.6,21.6,24.8,24.8,24.8,22.4,4.3
2021-01-12 16:00:00,23.2,23.2,27.5,27.5,22.4,22.4,24,24,24,22.4,4
2021-01-12 16:30:00,23.6,23.6,28,28,21.2,21.2,24,24,24,22.4,3.9
2021-01-12 17:00:00,23.6,23.6,27.5,27.5,22,22,27.2,27.2,27.2,22.8,3.9
2021-01-12 17:30:00,23.6,23.6,27.5,27.5,22,22,27.2,27.2,27.2,22.8,3.8
2021-01-12 18:00:00,23.6,23.6,27.5,27.5,22,22,26.8,26.8,26.8,22.8,3.8
2021-01-12 18:30:00,23.6,23.6,27.5,27.5,22,22,26.4,26.4,26.4,22.4,3.9
2021-01-12 19:00:00,23.6,23.6,27.5,27.5,21.6,21.6,26,26,26,22,3.8
2021-01-12 19:30:00,23.6,23.6,27.5,27.5,21.6,21.6,26,26,26,21.6,3.8
2021-01-12 20:00:00,23.6,23.6,27.5,27.5,21.6,21.6,25.6,25.6,25.6,21.6,3.7
2021-01-12 20:30:00,22.8,22.8,23,23,22.8,22.8,22.4,22.4,22.4,23.6,3.9
2021-01-12 21:00:00,22.4,22.4,22.5,22.5,22.8,22.8,21.6,21.6,21.6,23.2,3.9
2021-01-12 21:30:00,22.4,22.4,22.5,22.5,22,22,21.2,21.2,21.2,22.4,4
2021-01-12 22:00:00,22.1,22.1,22,22,21.6,21.6,21.2,21.2,21.2,21.6,3.8
2021-01-12 22:30:00,22.1,22.1,22,22,21.2,21.2,20.8,20.8,20.8,21.2,3.4
2021-01-12 23:00:00,22.1,22.1,21.5,21.5,20.8,20.8,20.8,20.8,20.8,20.8,3.2
2021-01-12 23:30:00,21.7,21.7,21.5,21.5,20.4,20.4,20.4,20.4,20.4,20.4,3.3
