éûä‘	5f0ãzçûâ∑ìx	5f1ãzçûâ∑ìx	5f2ãzçûâ∑ìx	5f3ãzçûâ∑ìx	5f4ãzçûâ∑ìx	5f5ãzçûâ∑ìx	5f6ãzçûâ∑ìx	5f7ãzçûâ∑ìx	5f8ãzçûâ∑ìx	5f9ãzçûâ∑ìx
2021/7/15 15:00	25.2	25.2	24.8	24.8	24.8	24.8	24.8	24.8	24.8	23.6
2021/7/15 15:30	25.2	25.2	24.8	24.8	25.6	25.6	24.8	24.8	24.8	24.8
2021/7/15 16:00	24.8	24.8	24.8	24.8	25.6	25.6	24.8	24.8	24.8	25.2
2021/7/15 16:30	24.4	24.4	24.8	24.8	24.8	24.8	24.8	24.8	24.8	25.2
2021/7/15 17:00	24.4	24.4	24.8	24.8	24.8	24.8	24.8	24.8	24.8	25.2
2021/7/15 17:30	25.2	25.2	24.8	24.8	25.2	25.2	24.8	24.8	24.8	24.4
2021/7/15 18:00	25.2	25.2	25.2	25.2	25.2	25.2	24.8	24.8	24.8	25.2
2021/7/15 18:30	24.8	24.8	25.2	25.2	25.2	25.2	24.8	24.8	24.8	25.2
2021/7/15 19:00	25.2	25.2	25.2	25.2	25.2	25.2	24.8	24.8	24.8	24.8
2021/7/15 19:30	24.4	24.4	24.8	24.8	25.2	25.2	24.8	24.8	24.8	24.8
2021/7/15 20:00	25.2	25.2	24.4	24.4	25.2	25.2	24.8	24.8	24.8	26
2021/7/15 20:30	25.2	25.2	25.2	25.2	24.8	24.8	24.8	24.8	24.8	25.6
2021/7/15 21:00	25.2	25.2	25.2	25.2	24.8	24.8	24.8	24.8	24.8	25.2
2021/7/15 21:30	25.2	25.2	24.8	24.8	24.8	24.8	25.2	25.2	25.2	24.8
2021/7/15 22:00	25.2	25.2	25.2	25.2	24.8	24.8	25.2	25.2	25.2	24.8
2021/7/15 22:30	25.2	25.2	25.2	25.2	24.8	24.8	25.2	25.2	25.2	24.8
2021/7/15 23:00	25.2	25.2	26.4	26.4	24.8	24.8	25.6	25.6	25.6	24.4
2021/7/15 23:30	25.2	25.2	27.2	27.2	24.8	24.8	26.8	26.8	26.8	24.4
