時間,595_実測値,596_実測値,597_実測値,608_実測値,609_実測値,610_実測値,611_実測値,616_実測値,618_実測値,619_実測値,620_実測値,621_実測値,622_実測値,623_実測値,624_実測値,625_実測値,626_実測値,627_実測値,628_実測値,631_実測値,632_実測値,633_実測値,634_実測値,636_実測値,637_実測値,638_実測値,652_実測値,659_実測値,"625""_実測値"
2021-08-16 15:53:00,26.0,26.1,26.5,25.4,24.5,24.0,23.3,26.0,26.1,26.5,25.9,25.1,24.5,23.3,26.3,25.8,26.2,26.5,25.1,24.6,23.8,26.4,,,,,,,
2021-08-16 15:54:00,26.0,26.1,26.5,25.4,24.5,24.0,23.4,26.0,26.1,26.5,25.9,25.1,24.5,23.4,26.3,25.8,26.2,26.5,25.1,24.7,23.8,26.4,,,,,,,
2021-08-16 15:55:00,26.0,26.1,26.5,25.4,24.5,24.0,23.4,26.0,26.1,26.5,25.9,25.1,24.5,23.4,26.3,25.8,26.2,26.5,25.1,24.7,23.8,26.3,26.2,,,,,,
2021-08-16 15:56:00,26.0,26.1,26.5,25.4,24.5,24.0,23.4,25.9,26.1,26.5,25.9,25.1,24.5,23.4,26.3,25.7,26.2,26.5,25.1,24.7,23.9,26.3,26.2,,,,,,
2021-08-16 15:57:00,26.0,26.1,26.5,25.4,24.6,24.0,23.4,25.9,26.1,26.5,25.9,25.1,24.5,23.4,26.3,25.7,26.2,26.5,25.1,24.7,23.9,26.3,26.2,26.0,,,,,
2021-08-16 15:58:00,26.0,26.1,26.5,25.4,24.6,24.0,23.4,25.9,26.1,26.5,25.9,25.1,24.5,23.4,26.3,25.7,26.2,26.5,25.1,24.7,23.9,26.2,26.2,26.0,,,,,
2021-08-16 15:59:00,26.0,26.1,26.5,25.4,24.6,24.0,23.4,25.9,26.1,26.5,25.9,25.1,24.5,23.4,26.3,25.7,26.2,26.5,25.1,24.7,23.9,26.2,26.2,26.0,26.2,,,,
2021-08-16 16:00:00,26.1,26.1,26.5,25.4,24.6,24.0,23.4,25.9,26.2,26.5,25.9,25.1,24.5,23.4,26.3,25.8,26.2,26.5,25.1,24.7,23.9,26.2,26.2,26.0,26.2,,,,
2021-08-16 16:01:00,26.1,26.1,26.5,25.4,24.6,24.0,23.4,25.9,26.2,26.5,26.0,25.1,24.5,23.4,26.3,25.8,26.2,26.5,25.2,24.7,23.9,26.2,26.2,26.0,26.2,25.2,,,
2021-08-16 16:02:00,26.1,26.1,26.5,25.5,24.6,24.0,23.4,25.9,26.2,26.5,26.0,25.1,24.5,23.4,26.3,25.8,26.2,26.5,25.2,24.7,23.9,26.2,26.2,26.0,26.2,25.2,,,
2021-08-16 16:03:00,26.1,26.1,26.5,25.5,24.6,24.0,23.4,25.9,26.2,26.6,26.0,25.1,24.5,23.4,26.3,25.8,26.2,26.5,25.2,24.7,23.9,26.2,26.2,26.0,26.2,25.2,,,
2021-08-16 16:04:00,26.1,26.2,26.5,25.5,24.6,24.0,23.4,25.9,26.2,26.6,26.0,25.1,24.5,23.4,26.3,25.8,26.2,26.5,25.2,24.7,23.9,26.2,26.2,26.0,26.2,25.2,24.8,,
2021-08-16 16:05:00,26.1,26.2,26.5,25.5,24.6,24.0,23.4,26.0,26.2,26.6,26.0,25.1,24.5,23.4,26.3,25.8,26.2,26.5,25.2,24.7,23.9,26.2,26.2,26.0,26.2,25.2,24.8,,
2021-08-16 16:06:00,26.1,26.2,26.5,25.5,24.6,24.0,23.4,26.0,26.2,26.6,26.0,25.1,24.5,23.4,26.4,25.9,26.2,26.5,25.2,24.7,23.9,26.3,26.2,26.0,26.2,25.2,24.8,,
2021-08-16 16:07:00,26.1,26.2,26.5,25.5,24.6,24.0,23.4,26.0,26.2,26.6,26.0,25.1,24.5,23.4,26.4,25.9,26.2,26.5,25.2,24.7,23.9,26.3,26.3,26.0,26.2,25.2,24.8,24.3,
2021-08-16 16:08:00,26.1,26.2,26.5,25.5,24.5,24.0,23.4,26.0,26.2,26.6,26.0,25.1,24.5,23.4,26.4,25.9,26.2,26.5,25.2,24.7,23.9,26.3,26.3,26.0,26.2,25.1,24.8,24.3,
2021-08-16 16:09:00,26.1,26.2,26.5,25.5,24.5,24.0,23.4,26.0,26.3,26.6,26.0,25.0,24.5,23.4,26.4,25.9,26.2,26.5,25.1,24.7,23.9,26.3,26.3,26.0,26.2,25.1,24.8,24.3,
2021-08-16 16:10:00,26.2,26.2,26.5,25.5,24.5,24.0,23.4,26.0,26.3,26.6,26.0,25.0,24.5,23.4,26.4,26.0,26.2,26.5,25.1,24.7,23.9,26.3,26.3,26.0,26.2,25.1,24.8,24.3,
2021-08-16 16:11:00,26.2,26.2,26.5,25.5,24.5,24.0,23.4,26.0,26.3,26.6,26.0,25.0,24.5,23.4,26.4,26.0,26.2,26.5,25.1,24.7,23.9,26.3,26.3,26.0,26.1,25.1,24.8,24.3,
2021-08-16 16:12:00,26.2,26.2,26.5,25.4,24.5,24.0,23.4,26.0,26.3,26.6,26.0,25.0,24.5,23.4,26.5,26.0,26.2,26.5,25.1,24.7,23.9,26.3,26.3,26.1,26.1,25.1,24.8,24.3,
