"< Measurement Data Text Output >"
""
"Date/Time","@date()","633","634","636","637","638","652","659","ch.8"
"","","ßC","ßC","ßC","ßC","ßC","ßC","ßC",""
"2021/11/15 14:39'30","44515.6107638889","  26.4000","","","","","","","",
"2021/11/15 14:40'30","44515.6114583333","  26.4000","","","","","","","",
"2021/11/15 14:41'30","44515.6121527778","  26.4000","","","","","","","",
"2021/11/15 14:42'30","44515.6128472222","  26.4000","  27.2000","","","","","","",
"2021/11/15 14:43'30","44515.6135416667","  26.4000","  27.2000","  27.4000","","","","","",
"2021/11/15 14:44'30","44515.6142361111","  26.4000","  27.3000","  27.4000","","","","","",
"2021/11/15 14:45'30","44515.6149305556","  26.4000","  27.3000","  27.4000","","","","","",
"2021/11/15 14:46'30","44515.6156250000","  26.4000","  27.3000","  27.4000","  26.5000","","","","",
"2021/11/15 14:47'30","44515.6163194444","  26.4000","  27.3000","  27.4000","  26.5000","","","","",
"2021/11/15 14:48'30","44515.6170138889","  26.4000","  27.3000","  27.4000","  26.5000","  26.0000","","","",
"2021/11/15 14:49'30","44515.6177083333","  26.5000","  27.3000","  27.4000","  26.5000","  26.0000","","","",
"2021/11/15 14:50'30","44515.6184027778","  26.5000","  27.3000","  27.4000","  26.5000","  26.0000","","","",
"2021/11/15 14:51'30","44515.6190972222","  26.4000","  27.3000","  27.4000","  26.5000","  26.0000","  26.5000","","",
"2021/11/15 14:52'30","44515.6197916667","  26.4000","  27.3000","  27.4000","  26.5000","  26.0000","  26.4000","","",
"2021/11/15 14:53'30","44515.6204861111","  26.4000","  27.3000","  27.4000","  26.5000","  26.0000","  26.4000","","",
"2021/11/15 14:54'30","44515.6211805556","  26.4000","  27.3000","  27.4000","  26.5000","  26.0000","  26.3000","  25.7000","",
"2021/11/15 14:55'30","44515.6218750000","  26.4000","  27.3000","  27.4000","  26.5000","  26.0000","  26.3000","  25.6000","",
"2021/11/15 14:56'30","44515.6225694444","  26.4000","  27.3000","  27.4000","  26.5000","  26.0000","  26.2000","  25.6000","",
"2021/11/15 14:57'30","44515.6232638889","  26.4000","  27.3000","  27.4000","  26.5000","  26.0000","  26.2000","  25.6000","",
"2021/11/15 14:58'30","44515.6239583333","  26.4000","  27.3000","  27.4000","  26.5000","  25.9000","  26.2000","  25.5000","",
"2021/11/15 14:59'30","44515.6246527778","  26.4000","  27.3000","  27.4000","  26.5000","  25.9000","  26.2000","  25.5000","",
"2021/11/15 15:00'30","44515.6253472222","  26.4000","  27.3000","  27.4000","  26.5000","  25.9000","  26.2000","  25.5000","",
"2021/11/15 15:01'30","44515.6260416667","  26.4000","  27.3000","  27.4000","  26.5000","  25.9000","  26.1000","  25.5000","",
"2021/11/15 15:02'30","44515.6267361111","  26.4000","  27.3000","  27.4000","  26.5000","  25.9000","  26.2000","  25.6000","",
"2021/11/15 15:03'30","44515.6274305556","  26.5000","  27.3000","  27.4000","  26.5000","  25.9000","  26.2000","  25.6000","",
"2021/11/15 15:04'30","44515.6281250000","  26.5000","  27.3000","  27.4000","  26.5000","  25.9000","  26.2000","  25.6000","",
"2021/11/15 15:05'30","44515.6288194444","  26.5000","  27.3000","  27.4000","  26.5000","  25.9000","  26.2000","  25.6000","",
"2021/11/15 15:06'30","44515.6295138889","  26.5000","  27.3000","  27.4000","  26.5000","  25.9000","  26.2000","  25.6000","",
"2021/11/15 15:07'30","44515.6302083333","  26.5000","  27.3000","  27.4000","  26.5000","  25.9000","  26.2000","  25.6000","",
"2021/11/15 15:08'30","44515.6309027778","  26.5000","  27.3000","  27.4000","  26.5000","  25.9000","  26.2000","  25.7000","",
"2021/11/15 15:09'30","44515.6315972222","  26.5000","  27.4000","  27.4000","  26.5000","  26.0000","  26.2000","  25.7000","",
"2021/11/15 15:10'30","44515.6322916667","  26.5000","  27.4000","  27.5000","  26.5000","  26.0000","  26.2000","  25.7000","",
"2021/11/15 15:11'30","44515.6329861111","  26.5000","  27.4000","  27.5000","  26.5000","  26.0000","  26.2000","  25.7000","",
"2021/11/15 15:12'30","44515.6336805556","  26.5000","  27.4000","  27.5000","  26.5000","  26.0000","  26.3000","  25.7000","",
"2021/11/15 15:13'30","44515.6343750000","  26.5000","  27.4000","  27.5000","  26.5000","  26.0000","  26.3000","  25.7000","",
"2021/11/15 15:14'30","44515.6350694444","  26.5000","  27.4000","  27.5000","  26.5000","  26.0000","  26.3000","  25.8000","",
"2021/11/15 15:15'30","44515.6357638889","  26.5000","  27.4000","  27.5000","  26.5000","  26.0000","  26.3000","  25.8000","",
