"< Measurement Data Text Output >"
""
"Date/Time","@date()","649","650","ch.3","ch.4","ch.5","ch.6","ch.7","ch.8"
"","","ßC","ßC","","","","","",""
"2021/11/15 15:34'01","44515.6486226852","  25.8000","","","","","","","",
"2021/11/15 15:35'01","44515.6493171296","  25.8000","","","","","","","",
"2021/11/15 15:36'01","44515.6500115741","  25.8000","","","","","","","",
"2021/11/15 15:37'01","44515.6507060185","  25.8000","  25.8000","","","","","","",
"2021/11/15 15:38'01","44515.6514004630","  25.8000","  25.8000","","","","","","",
"2021/11/15 15:39'01","44515.6520949074","  25.8000","  25.8000","","","","","","",
"2021/11/15 15:40'01","44515.6527893519","  25.8000","  25.8000","","","","","","",
"2021/11/15 15:41'01","44515.6534837963","  25.8000","  25.9000","","","","","","",
"2021/11/15 15:42'01","44515.6541782407","  25.8000","  25.9000","","","","","","",
"2021/11/15 15:43'01","44515.6548726852","  25.8000","  25.9000","","","","","","",
"2021/11/15 15:44'01","44515.6555671296","  25.9000","  25.9000","","","","","","",
"2021/11/15 15:45'01","44515.6562615741","  25.9000","  25.9000","","","","","","",
"2021/11/15 15:46'01","44515.6569560185","  25.9000","  25.9000","","","","","","",
"2021/11/15 15:47'01","44515.6576504630","  25.9000","  25.9000","","","","","","",
"2021/11/15 15:48'01","44515.6583449074","  25.9000","  25.9000","","","","","","",
"2021/11/15 15:49'01","44515.6590393519","  25.9000","  25.9000","","","","","","",
"2021/11/15 15:50'01","44515.6597337963","  25.9000","  25.9000","","","","","","",
"2021/11/15 15:51'01","44515.6604282407","  25.9000","  25.9000","","","","","","",
"2021/11/15 15:52'01","44515.6611226852","  25.9000","  25.9000","","","","","","",
"2021/11/15 15:53'01","44515.6618171296","  25.9000","  25.9000","","","","","","",
"2021/11/15 15:54'01","44515.6625115741","  25.9000","  25.9000","","","","","","",
"2021/11/15 15:55'01","44515.6632060185","  25.9000","  25.9000","","","","","","",
"2021/11/15 15:56'01","44515.6639004630","  25.9000","  25.9000","","","","","","",
"2021/11/15 15:57'01","44515.6645949074","  25.9000","  25.9000","","","","","","",
"2021/11/15 15:58'01","44515.6652893519","  25.9000","  25.9000","","","","","","",
"2021/11/15 15:59'01","44515.6659837963","  25.9000","  25.9000","","","","","","",
"2021/11/15 16:00'01","44515.6666782407","  25.9000","  25.9000","","","","","","",
"2021/11/15 16:01'01","44515.6673726852","  25.9000","  25.9000","","","","","","",
"2021/11/15 16:02'01","44515.6680671296","  25.9000","  25.9000","","","","","","",
"2021/11/15 16:03'01","44515.6687615741","  25.9000","  25.9000","","","","","","",
"2021/11/15 16:04'01","44515.6694560185","  25.9000","  25.9000","","","","","","",
"2021/11/15 16:05'01","44515.6701504630","  25.9000","  25.9000","","","","","","",
"2021/11/15 16:06'01","44515.6708449074","  25.9000","  25.9000","","","","","","",
"2021/11/15 16:07'01","44515.6715393519","  25.9000","  25.9000","","","","","","",
"2021/11/15 16:08'01","44515.6722337963","  25.9000","  25.9000","","","","","","",
"2021/11/15 16:09'01","44515.6729282407","  25.9000","  25.9000","","","","","","",
"2021/11/15 16:10'01","44515.6736226852","  25.9000","  25.9000","","","","","","",
"2021/11/15 16:11'01","44515.6743171296","  25.9000","  25.9000","","","","","","",
"2021/11/15 16:12'01","44515.6750115741","  25.9000","  25.9000","","","","","","",
"2021/11/15 16:13'01","44515.6757060185","  25.9000","  25.9000","","","","","","",
"2021/11/15 16:14'01","44515.6764004630","  25.9000","  25.9000","","","","","","",
"2021/11/15 16:15'01","44515.6770949074","  25.9000","  25.9000","","","","","","",
"2021/11/15 16:16'01","44515.6777893519","  25.9000","  25.9000","","","","","","",
"2021/11/15 16:17'01","44515.6784837963","  25.9000","  25.9000","","","","","","",
"2021/11/15 16:18'01","44515.6791782407","  25.9000","  25.9000","","","","","","",
"2021/11/15 16:19'01","44515.6798726852","  25.9000","  25.9000","","","","","","",
"2021/11/15 16:20'01","44515.6805671296","  25.9000","  25.9000","","","","","","",
"2021/11/15 16:21'01","44515.6812615741","  25.9000","  25.9000","","","","","","",
"2021/11/15 16:22'01","44515.6819560185","  25.9000","  25.9000","","","","","","",
"2021/11/15 16:23'01","44515.6826504630","  25.9000","  25.9000","","","","","","",
"2021/11/15 16:24'01","44515.6833449074","  25.9000","  25.9000","","","","","","",
"2021/11/15 16:25'01","44515.6840393519","  25.9000","  25.9000","","","","","","",
"2021/11/15 16:26'01","44515.6847337963","  25.9000","  25.9000","","","","","","",
"2021/11/15 16:27'01","44515.6854282407","  25.9000","  26.0000","","","","","","",
"2021/11/15 16:28'01","44515.6861226852","  25.9000","  26.0000","","","","","","",
"2021/11/15 16:29'01","44515.6868171296","  26.0000","  26.0000","","","","","","",
"2021/11/15 16:30'01","44515.6875115741","  26.0000","  26.0000","","","","","","",
"2021/11/15 16:31'01","44515.6882060185","  26.0000","  26.0000","","","","","","",
"2021/11/15 16:32'01","44515.6889004630","  26.0000","  26.0000","","","","","","",
"2021/11/15 16:33'01","44515.6895949074","  26.0000","  26.0000","","","","","","",
"2021/11/15 16:34'01","44515.6902893519","  26.0000","  26.0000","","","","","","",
"2021/11/15 16:35'01","44515.6909837963","  26.0000","  26.0000","","","","","","",
"2021/11/15 16:36'01","44515.6916782407","  26.0000","  26.0000","","","","","","",
"2021/11/15 16:37'01","44515.6923726852","  26.0000","  26.0000","","","","","","",
"2021/11/15 16:38'01","44515.6930671296","  26.0000","  26.0000","","","","","","",
"2021/11/15 16:39'01","44515.6937615741","  26.0000","  26.0000","","","","","","",
"2021/11/15 16:40'01","44515.6944560185","  26.0000","  26.0000","","","","","","",
"2021/11/15 16:41'01","44515.6951504630","  26.0000","  26.0000","","","","","","",
"2021/11/15 16:42'01","44515.6958449074","  26.0000","  26.0000","","","","","","",
"2021/11/15 16:43'01","44515.6965393519","  26.0000","  26.0000","","","","","","",
"2021/11/15 16:44'01","44515.6972337963","  26.0000","  26.0000","","","","","","",
"2021/11/15 16:45'01","44515.6979282407","  26.0000","  26.0000","","","","","","",
"2021/11/15 16:46'01","44515.6986226852","  26.0000","  26.0000","","","","","","",
"2021/11/15 16:47'01","44515.6993171296","  26.0000","  26.0000","","","","","","",
"2021/11/15 16:48'01","44515.7000115741","  26.0000","  26.0000","","","","","","",
"2021/11/15 16:49'01","44515.7007060185","  26.0000","  26.0000","","","","","","",
"2021/11/15 16:50'01","44515.7014004630","  26.0000","  26.0000","","","","","","",
"2021/11/15 16:51'01","44515.7020949074","  26.0000","  26.0000","","","","","","",
"2021/11/15 16:52'01","44515.7027893519","  26.0000","  26.0000","","","","","","",
"2021/11/15 16:53'01","44515.7034837963","  26.0000","  26.0000","","","","","","",
"2021/11/15 16:54'01","44515.7041782407","  26.0000","  26.0000","","","","","","",
"2021/11/15 16:55'01","44515.7048726852","  26.0000","  26.0000","","","","","","",
"2021/11/15 16:56'01","44515.7055671296","  26.0000","  26.0000","","","","","","",
"2021/11/15 16:57'01","44515.7062615741","  26.0000","  26.0000","","","","","","",
"2021/11/15 16:58'01","44515.7069560185","  26.0000","  26.0000","","","","","","",
"2021/11/15 16:59'01","44515.7076504630","  26.0000","  26.0000","","","","","","",
"2021/11/15 17:00'01","44515.7083449074","  26.0000","  26.0000","","","","","","",
"2021/11/15 17:01'01","44515.7090393519","  26.0000","  26.0000","","","","","","",
"2021/11/15 17:02'01","44515.7097337963","  26.0000","  26.0000","","","","","","",
"2021/11/15 17:03'01","44515.7104282407","  26.0000","  26.0000","","","","","","",
"2021/11/15 17:04'01","44515.7111226852","  26.0000","  26.0000","","","","","","",
"2021/11/15 17:05'01","44515.7118171296","  26.0000","  26.0000","","","","","","",
"2021/11/15 17:06'01","44515.7125115741","  26.0000","  26.1000","","","","","","",
"2021/11/15 17:07'01","44515.7132060185","  26.0000","  26.1000","","","","","","",
"2021/11/15 17:08'01","44515.7139004630","  26.0000","  26.1000","","","","","","",
"2021/11/15 17:09'01","44515.7145949074","  26.0000","  26.1000","","","","","","",
"2021/11/15 17:10'01","44515.7152893519","  26.0000","  26.1000","","","","","","",
"2021/11/15 17:11'01","44515.7159837963","  26.0000","  26.1000","","","","","","",
"2021/11/15 17:12'01","44515.7166782407","  26.0000","  26.1000","","","","","","",
"2021/11/15 17:13'01","44515.7173726852","  26.1000","  26.1000","","","","","","",
"2021/11/15 17:14'01","44515.7180671296","  26.1000","  26.1000","","","","","","",
"2021/11/15 17:15'01","44515.7187615741","  26.1000","  26.1000","","","","","","",
"2021/11/15 17:16'01","44515.7194560185","  26.1000","  26.1000","","","","","","",
"2021/11/15 17:17'01","44515.7201504630","  26.1000","  26.1000","","","","","","",
"2021/11/15 17:18'01","44515.7208449074","  26.0000","  26.1000","","","","","","",
"2021/11/15 17:19'01","44515.7215393519","  26.0000","  26.1000","","","","","","",
"2021/11/15 17:20'01","44515.7222337963","  26.0000","  26.1000","","","","","","",
"2021/11/15 17:21'01","44515.7229282407","  26.0000","  26.1000","","","","","","",
"2021/11/15 17:22'01","44515.7236226852","  26.0000","  26.1000","","","","","","",
"2021/11/15 17:23'01","44515.7243171296","  26.0000","  26.0000","","","","","","",
"2021/11/15 17:24'01","44515.7250115741","  26.0000","  26.0000","","","","","","",
"2021/11/15 17:25'01","44515.7257060185","  26.0000","  26.0000","","","","","","",
"2021/11/15 17:26'01","44515.7264004630","  26.0000","  26.0000","","","","","","",
"2021/11/15 17:27'01","44515.7270949074","  26.0000","  26.0000","","","","","","",
"2021/11/15 17:28'01","44515.7277893519","  26.0000","  26.0000","","","","","","",
"2021/11/15 17:29'01","44515.7284837963","  26.0000","  26.0000","","","","","","",
"2021/11/15 17:30'01","44515.7291782407","  26.0000","  26.0000","","","","","","",
"2021/11/15 17:31'01","44515.7298726852","  26.0000","  26.0000","","","","","","",
"2021/11/15 17:32'01","44515.7305671296","  26.0000","  26.0000","","","","","","",
"2021/11/15 17:33'01","44515.7312615741","  26.0000","  26.0000","","","","","","",
"2021/11/15 17:34'01","44515.7319560185","  26.0000","  26.0000","","","","","","",
"2021/11/15 17:35'01","44515.7326504630","  26.0000","  26.0000","","","","","","",
"2021/11/15 17:36'01","44515.7333449074","  26.0000","  26.0000","","","","","","",
"2021/11/15 17:37'01","44515.7340393519","  26.0000","  26.1000","","","","","","",
"2021/11/15 17:38'01","44515.7347337963","  26.0000","  26.0000","","","","","","",
