時間,設定温度0,運転モード0,風速0,設定温度1,運転モード1,風速1,設定温度2,運転モード2,風速2,設定温度3,運転モード3,風速3,設定温度4,運転モード4,風速4,設定温度5,運転モード5,風速5,設定温度6,運転モード6,風速6,設定温度7,運転モード7,風速7,設定温度8,運転モード8,風速8,設定温度9,運転モード9,風速9
15:00,22,2,3,22,2,3,22,2,3,22,2,3,23,3,1,23,3,1,23,3,1,23,3,1,23,3,1,22,2,1
15:01,22,2,3,22,2,3,22,2,3,22,2,3,23,3,1,23,3,1,23,3,1,23,3,1,23,3,1,22,2,1
15:02,22,2,3,22,2,3,22,2,3,22,2,3,23,3,1,23,3,1,23,3,1,23,3,1,23,3,1,22,2,1
15:03,22,2,3,22,2,3,22,2,3,22,2,3,23,3,1,23,3,1,23,3,1,23,3,1,23,3,1,22,2,1
15:04,22,2,3,22,2,3,22,2,3,22,2,3,23,3,1,23,3,1,23,3,1,23,3,1,23,3,1,22,2,1
15:05,22,2,3,22,2,3,22,2,3,22,2,3,23,3,1,23,3,1,23,3,1,23,3,1,23,3,1,22,2,1
15:06,22,2,3,22,2,3,22,2,3,22,2,3,23,3,1,23,3,1,23,3,1,23,3,1,23,3,1,22,2,1
15:07,22,2,3,22,2,3,22,2,3,22,2,3,23,3,1,23,3,1,23,3,1,23,3,1,23,3,1,22,2,1
15:08,22,2,3,22,2,3,22,2,3,22,2,3,23,3,1,23,3,1,23,3,1,23,3,1,23,3,1,22,2,1
15:09,22,2,3,22,2,3,22,2,3,22,2,3,23,3,1,23,3,1,23,3,1,23,3,1,23,3,1,22,2,1
15:10,22,2,3,22,2,3,22,2,3,22,2,3,23,3,1,23,3,1,23,3,1,23,3,1,23,3,1,22,2,1
15:11,21,2,3,21,2,3,21,2,3,21,2,3,21,3,1,21,3,1,21,3,1,21,3,1,21,3,1,21,2,1
15:12,21,2,3,21,2,3,21,2,3,21,2,3,21,3,1,21,3,1,21,3,1,21,3,1,21,3,1,21,2,1
15:13,21,2,3,21,2,3,21,2,3,21,2,3,23,3,1,23,3,1,23,3,1,23,3,1,23,3,1,21,2,1
15:14,21,2,3,21,2,3,21,2,3,21,2,3,23,3,1,23,3,1,23,3,1,23,3,1,23,3,1,21,2,1
15:15,21,2,3,21,2,3,21,2,3,21,2,3,23,3,1,23,3,1,23,3,1,23,3,1,23,3,1,21,2,1
15:16,21,2,3,21,2,3,21,2,3,21,2,3,23,3,1,23,3,1,23,3,1,23,3,1,23,3,1,21,2,1
15:17,21,2,3,21,2,3,21,2,3,21,2,3,23,3,1,23,3,1,23,3,1,23,3,1,23,3,1,21,2,1
15:18,21,2,3,21,2,3,21,2,3,21,2,3,23,3,1,23,3,1,23,3,1,23,3,1,23,3,1,21,2,1
15:19,21,2,3,21,2,3,21,2,3,21,2,3,23,3,1,23,3,1,23,3,1,23,3,1,23,3,1,21,2,1
15:20,21,2,3,21,2,3,21,2,3,21,2,3,23,3,1,23,3,1,23,3,1,23,3,1,23,3,1,21,2,1
15:21,21,2,3,21,2,3,21,2,3,21,2,3,23,3,1,23,3,1,23,3,1,23,3,1,23,3,1,21,2,1
15:22,21,2,3,21,2,3,21,2,3,21,2,3,23,3,1,23,3,1,23,3,1,23,3,1,23,3,1,21,2,1
15:23,21,2,3,21,2,3,21,2,3,21,2,3,23,3,1,23,3,1,23,3,1,23,3,1,23,3,1,21,2,1
15:24,21,2,3,21,2,3,21,2,3,21,2,3,23,3,1,23,3,1,23,3,1,23,3,1,23,3,1,21,2,1
15:25,21,2,3,21,2,3,21,2,3,21,2,3,23,3,1,23,3,1,23,3,1,23,3,1,23,3,1,21,2,1
15:26,21,2,3,21,2,3,21,2,3,21,2,3,23,3,1,23,3,1,23,3,1,23,3,1,23,3,1,21,2,1
15:27,21,2,3,21,2,3,21,2,3,21,2,3,23,3,1,23,3,1,23,3,1,23,3,1,23,3,1,21,2,1
15:28,21,2,3,21,2,3,21,2,3,21,2,3,23,3,1,23,3,1,23,3,1,23,3,1,23,3,1,21,2,1
15:29,21,2,3,21,2,3,21,2,3,21,2,3,23,3,1,23,3,1,23,3,1,23,3,1,23,3,1,21,2,1
15:30,21,2,3,21,2,3,21,2,3,21,2,3,23,3,1,23,3,1,23,3,1,23,3,1,23,3,1,21,2,1
