éûä‘,ê›íËâ∑ìx3f0,â^ì]ÉÇÅ[Éh3f0,ïóë¨3f0,ê›íËâ∑ìx3f1,â^ì]ÉÇÅ[Éh3f1,ïóë¨3f1,ê›íËâ∑ìx3f2,â^ì]ÉÇÅ[Éh3f2,ïóë¨3f2,ê›íËâ∑ìx3f3,â^ì]ÉÇÅ[Éh3f3,ïóë¨3f3,ê›íËâ∑ìx3f4,â^ì]ÉÇÅ[Éh3f4,ïóë¨3f4,ê›íËâ∑ìx3f5,â^ì]ÉÇÅ[Éh3f5,ïóë¨3f5,ê›íËâ∑ìx3f6,â^ì]ÉÇÅ[Éh3f6,ïóë¨3f6,ê›íËâ∑ìx3f7,â^ì]ÉÇÅ[Éh3f7,ïóë¨3f7,ê›íËâ∑ìx3f8,â^ì]ÉÇÅ[Éh3f8,ïóë¨3f8,ê›íËâ∑ìx3f9,â^ì]ÉÇÅ[Éh3f9,ïóë¨3f9
0:00,23,0,3,23,0,3,25,0,3,25,0,3,25,0,3,25,0,3,25,0,3,25,0,3,25,0,3,24,0,1
0:01,23,0,3,23,0,3,25,0,3,25,0,3,25,0,3,25,0,3,25,0,3,25,0,3,25,0,3,24,0,1
0:02,23,0,3,23,0,3,25,0,3,25,0,3,25,0,3,25,0,3,25,0,3,25,0,3,25,0,3,24,0,1
0:03,23,0,3,23,0,3,25,0,3,25,0,3,25,0,3,25,0,3,25,0,3,25,0,3,25,0,3,24,0,1
0:04,23,0,3,23,0,3,25,0,3,25,0,3,25,0,3,25,0,3,25,0,3,25,0,3,25,0,3,24,0,1
0:05,23,0,3,23,0,3,25,0,3,25,0,3,25,0,3,25,0,3,25,0,3,25,0,3,25,0,3,24,0,1
0:06,23,0,3,23,0,3,25,0,3,25,0,3,25,0,3,25,0,3,25,0,3,25,0,3,25,0,3,24,0,1
0:07,23,0,3,23,0,3,25,0,3,25,0,3,25,0,3,25,0,3,25,0,3,25,0,3,25,0,3,24,0,1
0:08,23,0,3,23,0,3,25,0,3,25,0,3,25,0,3,25,0,3,25,0,3,25,0,3,25,0,3,24,0,1
0:09,23,0,3,23,0,3,25,0,3,25,0,3,25,0,3,25,0,3,25,0,3,25,0,3,25,0,3,24,0,1
0:10,23,0,3,23,0,3,25,0,3,25,0,3,25,0,3,25,0,3,25,0,3,25,0,3,25,0,3,24,0,1
0:11,23,0,3,23,0,3,25,0,3,25,0,3,25,0,3,25,0,3,25,0,3,25,0,3,25,0,3,24,0,1
0:12,23,0,3,23,0,3,25,0,3,25,0,3,25,0,3,25,0,3,25,0,3,25,0,3,25,0,3,24,0,1
0:13,23,0,3,23,0,3,25,0,3,25,0,3,25,0,3,25,0,3,25,0,3,25,0,3,25,0,3,24,0,1
0:14,23,0,3,23,0,3,25,0,3,25,0,3,25,0,3,25,0,3,25,0,3,25,0,3,25,0,3,24,0,1
